instruction,input,output
What is the recommended dose of Retinol (Vitamin A) for a 9-month-old child for the prevention of deficiency?,"Retinol, child 9 months, prevention.","For a child aged 6 to 12 months, the preventive dose of Vitamin A is 100,000 IU every 4 to 6 months[cite: 410]."
Explain the preparation of a Gentian Violet solution for skin lesions.,Gentian Violet (Methylrosanilinium chloride) preparation.,"Dissolve 2.5 g of powder (approx. half a teaspoon) in 1 litre of boiled and cooled water to obtain a 0.25% solution. Shake well, leave to settle, and pour into another bottle to eliminate sediment[cite: 770, 771]."
Determine the oral dosage of Paracetamol for a child weighing 12 kg.,"Paracetamol, child weight 12 kg.","The oral dose of paracetamol for children is 15 mg/kg every 6 hours. For a 12 kg child, this is 180 mg every 6 hours, not to exceed 60 mg/kg daily[cite: 1101, 2809]."
Identify the signs of Atropine toxicity in children.,"Atropine injectable, child, toxicity.","Signs of excessive dosage (atropinisation) include reduced secretions, tachycardia, and significant dilation of the pupils[cite: 555, 557]."
What are the storage conditions for reconstituted Meningococcal vaccine?,"Meningococcal A+C+W135 vaccine, reconstituted.",Reconstituted vaccine must be stored between 2°C and 8°C and used within 6 hours maximum[cite: 757].
List the main contraindications for oral Diazepam.,"Diazepam oral, contraindications.","Do not administer to patients with severe respiratory insufficiency, severe hepatic impairment, or acute alcohol intoxication[cite: 2573]."
What is the standard adult dose of oral Ciprofloxacin for shigellosis?,"Ciprofloxacin, adult, shigellosis.","The adult dose for shigellosis is 500 mg twice daily for 3 days[cite: 2341, 2349]."
State the precautions for using Isoniazid in patients at risk of peripheral neuropathy.,"Isoniazid, peripheral neuropathy risk.","Administer pyridoxine (vitamin B6) to patients at risk of peripheral neuropathy, such as those who are malnourished, diabetic, or HIV-infected. The adult dose is 10 mg once daily[cite: 2846, 2851]."
What is the loading dose of injectable Digoxin for an adult with supraventricular arrhythmia?,"Digoxin injection, adult, loading dose.",The loading dose is 500 to 1000 micrograms. It can be given as an IV infusion over at least 2 hours or in divided slow IV injections over 5 minutes each[cite: 612].
Determine the treatment duration for an adult with paucibacillary leprosy using Dapsone.,"Dapsone, adult, paucibacillary leprosy.","For paucibacillary leprosy, the treatment duration with Dapsone (in combination with other drugs) is 6 months[cite: 2536]."
Provide the administration technique for buccal Midazolam in a child.,"Midazolam, child, buccal administration.","Lay the patient on their side. Withdraw the dose using a syringe, remove the needle, and insert the syringe tip between the gum and cheek. Administer slowly by pushing the plunger[cite: 699]."
Identify the common adverse effects of Fluoxetine.,"Fluoxetine, common side effects.","Common effects include gastrointestinal disturbances, drowsiness, fatigue, headache, dizziness, and sexual dysfunction. Mental disorders like anxiety or insomnia may also occur[cite: 2709, 2710]."
What is the recommended treatment for an animal bite using Co-amoxiclav?,"Co-amoxiclav, animal bite.","The dose for children under 40 kg is 25 mg/kg twice daily. For adults, it is 2000 mg (Ratio 8:1) or 1750 mg (Ratio 7:1) daily in divided doses for 5 to 7 days[cite: 1492, 1493, 1498, 1499, 1509]."
How should Omeprazole be administered for a patient with a peptic ulcer perforation?,"Omeprazole injection, adult, perforated ulcer.",Administer 40 mg once daily by IV infusion (dissolved in 100 ml of 0.9% NaCl or 5% glucose) over 20 to 30 minutes until the patient can eat[cite: 717].
List the indications for oral Aciclovir.,Aciclovir oral indications.,"Indications include recurrent oral/oesophageal herpes in immunocompromised patients, herpetic kerato-uveitis, genital herpes, and severe forms of zoster (necrotic or ophthalmic)[cite: 1246, 1247, 1249]."
Determine the correct oral dosage of Amoxicillin for an adult with tonsillitis.,"Amoxicillin, adult, tonsillitis.","The adult dosage for tonsillitis is 1 g twice daily for 6 days[cite: 1450, 1458]."
Specify the precautions for administering injectable Artesunate.,"Artesunate injection, precautions.","May cause delayed hemolytic anemia, especially in young children and cases of hyperparasitaemia, appearing 2-3 weeks after treatment. Ensure the solution is clear before injection[cite: 535, 536]."
What is the dosage of oral Ibuprofen for postoperative pain in a child weighing 25 kg?,"Ibuprofen, child 25 kg, postoperative pain.","The dose is 5 to 10 mg/kg every 8 hours. For a 25 kg child, this is 125 to 250 mg per dose, for a maximum of 8 days[cite: 2809, 2814]."
State the storage requirements for oral reconstituted Fluconazole suspension.,"Fluconazole oral suspension, storage.","Once reconstituted, the oral suspension keeps for 2 weeks at a temperature below 25°C[cite: 278, 279]."
Identify the therapeutic action of Biphasic Insulin.,"Biphasic Insulin, therapeutic action.",It is a pancreatic antidiabetic hormone containing a combination of short-acting (30%) and intermediate-acting (70%) insulin[cite: 666].
What is the maximum daily dose of oral Codeine for an adult?,"Codeine oral, adult, max dose.","The maximum dose is 240 mg daily, typically given as 30 to 60 mg every 4 to 6 hours[cite: 2486]."
Determine the duration of treatment for an adult with uncomplicated typhoid fever using Azithromycin.,"Azithromycin, adult, typhoid fever.",The treatment is 500 mg to 1 g once daily for 7 days[cite: 1707].
Provide instructions for the use of Desogestrel if a pill is missed by more than 12 hours.,"Desogestrel, missed pill > 12 hours.","Take the missed pill immediately and continue the pack. Use condoms for the next 2 days to ensure contraceptive effectiveness[cite: 2555, 2557]."
What is the oral dose of Folic acid for treating megaloblastic anemia in an infant under 1 year?,"Folic acid, child < 1 year, anemia.",The dose is 0.5 mg/kg once daily for 4 months[cite: 2718].
Identify the contraindications for Carbamazepine.,"Carbamazepine, contraindications.",Do not administer to patients with atrioventricular block or a history of bone marrow depression[cite: 2065].
Determine the oral dosage of Artemether/lumefantrine for a child weighing 20 kg.,"Artemether/lumefantrine, child 20 kg.","Administer 2 dispersible tablets (20/120 mg) twice daily for 3 days. On the first day, the second dose is given 8-12 hours after the first[cite: 1550, 1553]."
What are the signs of Gentamicin toxicity that require treatment discontinuation?,"Gentamicin injection, toxicity signs.","Treatment should be stopped immediately if the patient experiences dizziness, tinnitus, or hearing loss[cite: 751]."
Specify the administration frequency of oral Hydrochlorothiazide for hypertension.,"Hydrochlorothiazide, hypertension.","The standard adult dose is 12.5 to 25 mg once daily, preferably in the morning[cite: 2786]."
List the indications for injectable Ceftriaxone.,Ceftriaxone injection indications.,"Indications include severe bacterial infections (sepsis, meningitis, pneumonia, typhoid), gonococcal infections, and neurosyphilis[cite: 580]."
What is the recommended treatment duration for Trichuriasis with Mebendazole?,"Mebendazole, trichuriasis.","For children over 6 months and adults, the dose is 100 mg twice daily for 3 days[cite: 2978]."
Determine the loading dose of oral Haloperidol for an acute manic episode.,"Haloperidol oral, adult, manic episode.","Start with 0.5 to 1 mg twice daily, gradually increasing up to 10 mg daily if necessary[cite: 2779]."
Identify the risk associated with administering ceftriaxone to a jaundiced neonate.,"Ceftriaxone, neonate, jaundice.",Do not administer to neonates with jaundice due to the risk of bilirubin encephalopathy[cite: 584].
What is the adult dose of oral Diazepam for severe anxiety?,"Diazepam, adult, severe anxiety.",The dose is 2.5 to 5 mg twice daily for a maximum of 2 to 3 weeks[cite: 2571].
Provide the technique for using a beclometasone inhaler with a spacer.,"Beclometasone, inhaler with spacer.",Attach the inhaler to the spacer. Shake well. Place lips around the spacer mouthpiece. Activate the inhaler once and breathe in deeply through the spacer[cite: 1775].
State the storage requirements for oral Chlorpromazine tablets.,"Chlorpromazine oral, storage.","Store below 25°C and do not crush tablets to avoid risk of contact dermatitis[cite: 2293, 2295]."
What is the oral dosage for Albendazole in an adult for hookworm infection?,"Albendazole, adult, hookworm.",The standard dose is a single oral dose of 400 mg[cite: 1292].
Determine the treatment duration for an adult with multibacillary leprosy using Dapsone.,"Dapsone, adult, multibacillary leprosy.","For multibacillary leprosy, the treatment duration is 12 months in combination with other drugs[cite: 2536]."
Identify the common adverse effects of oral Amitriptyline.,"Amitriptyline, adverse effects.","Common effects include drowsiness, orthostatic hypotension, and anticholinergic effects like dry mouth, constipation, and blurred vision[cite: 1383, 1384]."
What is the standard dose of oral Artemether/lumefantrine for an adult weighing over 35 kg?,"Artemether/lumefantrine, adult > 35 kg.",Administer 4 tablets of 20/120 mg (or one 80/480 mg tablet) twice daily for 3 days[cite: 1553].
Specify the precautions for using Atropine in children with fever.,"Atropine injection, child, fever.","Do not administer to children with high fever, as it may affect thermoregulation[cite: 558, 2806]."
What is the adult dose of oral Azithromycin for early syphilis?,"Azithromycin, adult, syphilis.",The dose is a single 2 g dose[cite: 1700].
Identify the contraindications for oral Bisacodyl.,"Bisacodyl, contraindications.","Do not administer to patients with Crohn's disease, ulcerative colitis, intestinal obstruction, or dehydration[cite: 1878]."
What is the oral dose of Calcium Folinate for an adult during toxoplasmosis treatment?,"Calcium folinate, adult, toxoplasmosis.","The dose is 10 to 25 mg once daily for the duration of pyrimethamine treatment[cite: 145, 146]."
Specify the storage requirement for oral Carbamazepine solution.,"Carbamazepine solution, storage.",Store below 25°C[cite: 2109].
Determine the oral dosage of Cefalexin for a child weighing 15 kg with impetigo.,"Cefalexin, child 15 kg, impetigo.","For a child weighing 15 to < 20 kg, the dose is 250 mg twice daily for 7 days[cite: 2131, 2133]."
What is the single oral dose of Cefixime for gonococcal cervicitis in an adult?,"Cefixime, adult, gonorrhea.",The recommended dose is a single 400 mg dose[cite: 2171].
State the correct timing for administering Activated Charcoal after poisoning.,"Activated Charcoal, timing.","Administer as soon as possible, preferably within one hour after ingestion of the toxic compound[cite: 2194]."
What is the daily oral dose of Chloroquine (base) for an adult on Day 1 of malaria treatment?,"Chloroquine, adult, malaria Day 1.",The dose is 10 mg base/kg on Day 1[cite: 2231].
Identify the signs of Isoniazid-induced hepatotoxicity.,"Isoniazid, hepatotoxicity signs.","Signs include anorexia, nausea, dark urine, pale stools, hepatomegaly, and jaundice[cite: 1740, 2847, 2849]."
Determine the adult dose of oral Clarithromycin for H. pylori eradication.,"Clarithromycin, adult, H. pylori.",The dose is 500 mg twice daily for 7 days in combination with other drugs[cite: 2387].
What is the recommended dose of oral Clindamycin for an adult with pneumonia?,"Clindamycin oral, adult, pneumonia.","The adult dose is 600 mg 3 times daily for 10 to 14 days[cite: 2421, 2426]."
Specify the contraindications for oral Cloxacillin.,"Cloxacillin oral, contraindications.",Do not administer to patients with a history of penicillin allergy[cite: 2454].
What is the oral dosage for Colecalciferol (Vitamin D3) for a term neonate?,"Colecalciferol, neonate, prevention.",The dose is 400 to 800 IU once daily until 6 months of age[cite: 219].
Identify the contraindications for Co-trimoxazole in infants.,"Co-trimoxazole, infant, contraindications.","Do not administer to children under 6 weeks of age, except for pneumocystosis prophylaxis[cite: 2526]."
What is the oral dose of Dapsone for an adult for multibacillary leprosy?,"Dapsone, adult, leprosy.",The adult dose is 100 mg once daily[cite: 2535].
Specify the precautions for using Darunavir in patients with hemophilia.,"Darunavir, hemophilia, precautions.",Administer with caution as it may increase the risk of bleeding[cite: 241].
Determine the oral dosage of Desogestrel for contraception.,"Desogestrel, oral contraception.","Take one 75 microgram tablet daily at the same time, including during menstruation[cite: 2550, 2551]."
What is the adult dose of oral Dexamethasone for allergic reactions?,"Dexamethasone, adult, allergic reaction.",The usual dose is 0.5 to 24 mg (maximum 40 mg) once daily[cite: 250].
Identify the therapeutic action of Diethylcarbamazine (DEC).,"DEC, therapeutic action.",It is an anthelminthic (antifilarial) drug used for lymphatic filariasis[cite: 2581].
Determine the oral dosage of Dihydroartemisinin/piperaquine (DHA/PPQ) for an adult weighing 65 kg.,"DHA/PPQ, adult 65 kg.",Take 4 tablets of 40/320 mg once daily for 3 days[cite: 2602].
State the storage requirements for oral Dolutegravir tablets.,"Dolutegravir, storage.",Store below 25°C[cite: 258].
What is the single oral dose of Doxycycline for cholera in an adult?,"Doxycycline, adult, cholera.",The single dose is 300 mg[cite: 2620].
Identify the contraindications for oral Efavirenz in children.,"Efavirenz, child, contraindications.",Do not administer to children under 3 years of age[cite: 271].
What is the adult oral dose of Enalapril for hypertension?,"Enalapril, adult, hypertension.","Start with 5 mg once daily, gradually increasing every 1 to 2 weeks up to 10-20 mg once daily[cite: 2638]."
Specify the treatment duration for diphtheria with oral Erythromycin.,"Erythromycin, diphtheria duration.",The treatment duration is 14 days[cite: 2651].
What is the maximum daily dose of oral Ethambutol?,"Ethambutol, max dose.",The maximum dose is 1200 mg once daily[cite: 2656].
Determine the adult oral dose of Ferrous salts for iron-deficiency anemia treatment.,"Ferrous salts, adult, anemia treatment.","The dose is 65 mg of elemental iron 2 to 3 times daily for 3 months[cite: 2674, 2676]."
Identify the common adverse effects of oral Fluconazole.,"Fluconazole, adverse effects.","Common effects include gastrointestinal disturbances, headache, skin reactions, and elevated liver enzymes[cite: 2689, 322]."
What is the dose of oral Flucytosine for an adult with cryptococcal meningitis?,"Flucytosine, adult, meningitis.",The dose is 25 mg/kg 4 times daily[cite: 282].
State the precautions for using oral Furosemide in breast-feeding women.,"Furosemide, breast-feeding, precautions.",It is contra-indicated because it is excreted in milk and may reduce milk production[cite: 2734].
What is the starting dose of oral Glibenclamide for an adult with type 2 diabetes?,"Glibenclamide, adult, diabetes.",Start with 2.5 mg once daily in the morning[cite: 2739].
Determine the sublingual dose of Glyceryl Trinitrate for an acute angina attack.,"Glyceryl Trinitrate, sublingual, angina.","The dose is 0.5 to 1 mg, repeated up to 3 times at 3-4 minute intervals[cite: 2757]."
What is the recommended treatment duration for scalp ringworm with oral Griseofulvin?,"Griseofulvin, scalp ringworm.",The treatment duration is a minimum of 6 weeks[cite: 2768].
Identify the contraindications for oral Haloperidol.,"Haloperidol, contraindications.","Do not administer to patients with heart failure, dementia, Parkinson's disease, or a history of neuroleptic malignant syndrome[cite: 2783]."
What is the standard adult dose of oral Hydroxyzine for insomnia?,"Hydroxyzine, adult, insomnia.",The dose is 25 mg once daily at bedtime for 7 to 10 days[cite: 2794].
Specify the precautions for oral Hyoscine butylbromide in children.,"Hyoscine butylbromide, child, precautions.",Do not exceed recommended doses to avoid severe anticholinergic effects[cite: 2802].
What is the adult dose of oral Iodized Oil for iodine deficiency prevention?,"Iodized oil, adult, prevention.",The dose is 2 capsules (380 mg) once a year[cite: 2821].
Identify the therapeutic action of Ipratropium bromide.,"Ipratropium bromide, therapeutic action.","It is a bronchodilator and anticholinergic drug used for severe asthma attacks[cite: 2825, 2834]."
Determine the oral dosage of Isoniazid for a child weighing 20 kg for latent tuberculosis.,"Isoniazid, child 20 kg, latent TB.","The dose is 10 mg/kg once daily, which is 200 mg daily[cite: 302]."
What is the adult oral dose of Itraconazole for moderate histoplasmosis?,"Itraconazole, adult, histoplasmosis.","The adult dose is 200 mg 3 times daily for 3 days, then 200 mg 1 to 2 times daily for 6 to 12 weeks[cite: 320]."
Identify the indications for oral Ivermectin.,"Ivermectin, oral indications.",Indications include onchocerciasis and scabies (ordinary or crusted)[cite: 328].
What is the starting dose of oral Labetalol for hypertension in pregnancy?,"Labetalol, pregnancy hypertension.",Start with 100 mg twice daily[cite: 2886].
State the storage requirements for oral Lactulose.,"Lactulose, storage.",Store below 25°C and do not refrigerate to avoid crystallization[cite: 2900].
What is the daily oral dose of Lamivudine (3TC) for an adult?,"Lamivudine, adult, dose.","The adult dose is 300 mg daily, given as a single dose or in 2 divided doses[cite: 338]."
Identify the indications for oral Levetiracetam.,"Levetiracetam, indications.","Used for epilepsy: generalized tonic-clonic seizures, focal seizures, and absence seizures[cite: 346]."
What is the initial adult dose of oral Levodopa/carbidopa for Parkinson's disease?,"Levodopa/carbidopa, Parkinson's dose.",Initial dose is 50 to 125 mg of levodopa 3 times daily after meals[cite: 2925].
Determine the oral dosage of Levonorgestrel for emergency contraception.,"Levonorgestrel, emergency contraception.","Take one 1.5 mg tablet as soon as possible, preferably within 72 hours, up to 120 hours after intercourse[cite: 2948, 2949]."
Identify the indications for oral Loperamide.,"Loperamide, indications.",Symptomatic treatment of persistent diarrhea in adults with HIV infection[cite: 2954].
What is the standard adult oral dose of Loratadine for allergic reactions?,"Loratadine, adult, allergy.",The dose is 10 mg once daily[cite: 2971].
State the recommended treatment for giardiasis with oral Tinidazole in an adult.,"Tinidazole, adult, giardiasis.",The adult dose is 2 g as a single dose[cite: 482].
What is the oral dose of Mebendazole for enterobiasis in a child weighing 12 kg?,"Mebendazole, child 12 kg, enterobiasis.",The dose is a single 100 mg dose[cite: 2978].
Determine the dosage of oral Medroxyprogesterone for functional uterine bleeding.,"Medroxyprogesterone, adult, uterine bleeding.","For long-term treatment, the dose is 10 mg once daily (up to 30 mg if needed)[cite: 2984]."
Specify the precautions for oral Metformin in surgical patients.,"Metformin, surgery, precautions.",Stop metformin before surgery and resume 48 hours later after checking renal function[cite: 2992].
What is the recommended adult dose of oral Methyldopa for hypertension in pregnancy?,"Methyldopa, adult, pregnancy hypertension.","Initial dose is 250 mg 2 to 3 times daily, increasing up to a usual dose of 1.5 g daily[cite: 2995]."
Identify the contraindications for oral Metoclopramide.,"Metoclopramide, adult, contraindications.","Do not administer to children under 18 years, or patients with GI hemorrhage, obstruction, or perforation[cite: 3006]."
What is the adult oral dose for intestinal amoebiasis with Metronidazole?,"Metronidazole, intestinal amoebiasis.","The dose is 1.5 to 2.4 g daily in 3 divided doses for 5 days[cite: 3012, 3013]."
Specify the adult oral dose of Niclosamide for tapeworm infection.,"Niclosamide, adult, tapeworm.",The standard dose is 2 g as a single dose[cite: 1091].
What is the recommended treatment for a child weighing 15 kg with severe staphylococcal cellulitis using injectable Clindamycin?,"Clindamycin injection, child 15 kg.","The dose is 10 mg/kg (150 mg) every 8 hours by IV infusion for 7 to 10 days[cite: 590, 592]."
State the preparation steps for injectable Artesunate (2-step method).,"Artesunate injection, preparation.","1. Add 1 ml of 5% sodium bicarbonate to the 60 mg vial and shake until clear. 2. For IV: add 5 ml of 0.9% NaCl (10 mg/ml solution). For IM: add 2 ml of 0.9% NaCl (20 mg/ml solution)[cite: 523, 524]."
What is the loading dose of oral Phenobarbital for an adult with epilepsy?,"Phenobarbital oral, adult, epilepsy.",Start with 1 mg/kg (maximum 60 mg) once daily at bedtime for 2 weeks[cite: 399].
Determine the treatment duration for brucellosis using Rifampicin in an adult.,"Rifampicin, adult, brucellosis.",The treatment duration is 6 weeks in combination with another antibacterial[cite: 420].
Identify the contraindications for Podophyllotoxin gel.,"Podophyllotoxin, contraindications.",Do not use during pregnancy or breast-feeding[cite: 767].
What is the single SC dose of Meningococcal vaccine for an adult?,"Meningococcal vaccine, adult dose.",The dose is a single 0.5 ml injection[cite: 752].
Identify the therapeutic action of Pilocarpine eye drops.,"Pilocarpine eye drops, therapeutic action.",It is a cholinergic anti-glaucoma agent and miotic[cite: 761].
What is the dose of injectable Paracetamol for an adult weighing 55 kg?,"Paracetamol injection, adult 55 kg.",The dose is 1 g per injection every 6 hours (maximum 4 g daily)[cite: 486].
Identify the risk of using oral Erythromycin in infants under 2 weeks.,"Erythromycin, neonate, risk.",There is a risk of hypertrophic pyloric stenosis[cite: 2652].
Determine the oral dosage of Artemether/lumefantrine for an adult weighing 50 kg.,"Artemether/lumefantrine, adult 50 kg.",Administer 4 tablets of 20/120 mg twice daily for 3 days[cite: 1553].
What is the standard adult dose of injectable Morphine for severe pain by SC route?,"Morphine injection, adult, SC dose.",The dose is 0.1 to 0.2 mg/kg every 4 hours as needed[cite: 708].
Specify the precautions for oral Ibuprofen in asthmatic patients.,"Ibuprofen, asthma, precautions.",Administer with caution due to the risk of bronchospasm[cite: 2816].
What is the oral dose of Retinol (Vitamin A) for a corneal lesion in an adult?,"Vitamin A, adult, corneal lesion.","Administer 200,000 IU once daily on D1, D2, and D8 (or D15)[cite: 411, 414]."
State the storage requirements for injectable Eflornithine solution.,"Eflornithine injection, storage.",Store below 25°C. Reconstituted diluted solution must be kept refrigerated (2°C-8°C) and used within 24 hours[cite: 623].
What is the adult oral dose of Enalapril for heart failure?,"Enalapril, adult, heart failure.","Start with 2.5 mg once daily, increasing gradually to a usual maintenance dose of 10 to 20 mg once daily[cite: 2637]."
Identify the precautions for oral Amitriptyline in elderly patients.,"Amitriptyline, elderly, precautions.","Reduce the initial dose by half (e.g., 12.5 mg) and monitor closely for side effects like confusion or sedation[cite: 1370, 1379]."
What is the oral dose of Mebendazole for ascariasis in an adult?,"Mebendazole, adult, ascariasis.",The dose is 100 mg twice daily for 3 days[cite: 2978].
Determine the dosage of injectable Artesunate for a child weighing 15 kg.,"Artesunate injection, child 15 kg.","For children weighing 6 to < 20 kg, the dose is 3 mg/kg. For a 15 kg child, this is 50 mg (or 5 ml of 10 mg/ml IV solution) per injection[cite: 529, 530]."
Identify the therapeutic action of Naloxone.,"Naloxone, therapeutic action.","It is an opioid antagonist used to reverse respiratory depression caused by opioid overdose[cite: 2500, 716]."
What is the single oral dose of Azithromycin for trachoma in an adult?,"Azithromycin, adult, trachoma.",The recommended dose is 1 g as a single dose[cite: 1700].
Specify the precautions for oral Carbamazepine in women using oral contraceptives.,"Carbamazepine, contraception, precautions.",Carbamazepine reduces the effectiveness of oral contraceptives; use an injectable progestogen or an intrauterine device instead[cite: 2088].
What is the standard oral dose of Chlorpromazine for chronic psychosis in an adult?,"Chlorpromazine, adult, psychosis.","Start with 25-50 mg daily, increasing to a maintenance dose of up to 100 mg 3 times daily[cite: 2264, 2265, 2266]."
Identify the signs of acute Digoxin toxicity.,"Digoxin, acute toxicity signs.","Signs include nausea, vomiting, blurred vision, headache, confusion, and serious rhythm disorders[cite: 2593, 616]."
Determine the oral dose of Ferrous salts for preventing deficiency in a 6-month-old child.,"Ferrous salts, child 6 months, prevention.",The dose is 1 to 2 mg/kg once daily (maximum 65 mg elemental iron)[cite: 2673].
What is the adult oral dose of Fluconazole for oesophageal candidiasis?,"Fluconazole, adult, candidiasis.","The dose is 50 to 200 mg (maximum 400 mg) once daily for 14 to 21 days[cite: 2683, 2684]."
Specify the contraindications for oral Glibenclamide.,"Glibenclamide, contraindications.","Contraindicated in Type 1 diabetes, severe renal or hepatic impairment, and allergy to sulfonamides[cite: 2741]."
What is the adult oral dose of Haloperidol for an acute confusional state?,"Haloperidol, adult, delirium.","The dose is 0.5 to 1 mg twice daily for a short duration (maximum 7 days)[cite: 2777, 2779]."
Identify the therapeutic action of Isoniazid.,"Isoniazid, therapeutic action.",It is a first-line bactericidal antituberculosis drug[cite: 2842].
What is the adult oral dose of Itraconazole for scalp dermatophytosis?,"Itraconazole, adult, scalp infection.",The dose is 200 mg once daily for 4 weeks[cite: 320].
Specify the precautions for oral Labetalol in diabetic patients.,"Labetalol, diabetes, precautions.",Administer with caution as it may mask signs of and increase the risk of hypoglycemia[cite: 2890].
Determine the oral dose of Lamivudine for a neonate weighing 4 kg.,"Lamivudine, neonate 4 kg.","The dose for a 4 to < 5 kg neonate is 1 ml (10 mg/ml) twice daily (total 20 mg daily)[cite: 190, 342]."
What is the maintenance dose of oral Levodopa/carbidopa for Parkinson's disease?,"Levodopa/carbidopa, maintenance dose.","The maintenance dose is usually 250 to 500 mg (of levodopa) 3 times daily after meals[cite: 193, 2926]."
Identify the standard adult dose of oral Metronidazole for giardiasis.,"Metronidazole, adult, giardiasis.",The dose is 2 g as a single dose[cite: 3012].
Determine the dosage of oral Mebendazole for trichinellosis in a 10-year-old child.,"Mebendazole, child 10 years, trichinellosis.",The dose is 2.5 mg/kg twice daily for 10 to 15 days[cite: 2979].
What is the standard adult dose of injectable Paracetamol for severe pain?,"Paracetamol injection, adult, severe pain.","For severe pain, 1 g is administered in combination with an NSAID and morphine[cite: 733]."
Specify the adult oral dose of Pyrazinamide for tuberculosis.,"Pyrazinamide, adult, TB dose.","The dose is weight-based, typically 25 mg/kg once daily as part of a combination regimen[cite: 1111]."
Identify the storage requirements for injectable Insulin.,"Insulin injection, storage.",Unopened vials should be kept refrigerated (2°C-8°C) and protected from light. Do not freeze[cite: 665].
What is the dose of oral Quinine for malaria in a pregnant woman?,"Quinine, pregnancy, malaria.",Quinine is used in combination with clindamycin at a dose of 10 mg/kg 2 times daily for 7 days[cite: 2438].
Determine the oral dosage of Rifampicin for an adult weighing 60 kg with TB.,"Rifampicin, adult 60 kg, TB.","The adult dose is 10 mg/kg (600 mg) once daily on an empty stomach[cite: 418, 419]."
State the precautions for using oral Sertraline in breast-feeding women.,"Sertraline, breast-feeding, precautions.","Sertraline is considered safe during breast-feeding, but the neonate should be observed for signs of agitation or tremors[cite: 467, 469]."
What is the dose of oral Spironolactone for adult heart failure?,"Spironolactone, heart failure, adult.","The usual dose is 25 mg once daily, adjusting according to clinical response[cite: 1129]."
Identify the therapeutic action of Tramadol.,"Tramadol, therapeutic action.",It is an opioid analgesic used for moderate to severe pain[cite: 484].
What is the adult oral dose of Valproic acid (Sodium Valproate) for epilepsy?,"Valproic acid, adult, epilepsy.","Start with 10 to 15 mg/kg daily in divided doses, increasing up to a usual dose of 20 to 30 mg/kg daily[cite: 1142]."
Determine the adult oral dose of Vitamin B1 (Thiamine) for acute beriberi.,"Thiamine, adult, acute beriberi.",Administer 50 mg 3 times daily until symptoms improve[cite: 476].
What is the recommended oral treatment for scabies in a child weighing 20 kg?,"Ivermectin, child 20 kg, scabies.","Administer 1 tablet of 3 mg (150-200 micrograms/kg) as a single dose[cite: 2871, 2875]."
